Date,Reliance,HDFC Bank, HDFC Housing,ICICI Bank,Infosys,TCS,ITC,Hindustan Uniliver,Kotak Mahindra,Larsen & Toubro, Axis Bank,Airtel,Asian Paints,State Bank,Maruti,Nestle India, Bajaj Finance, Sunpharma,HCL Technologies,Titan,Ultratech,Power Grid,NTPC,Mahinda & Mahindra,Bajaj Auto,Tech Mahindra,ONGC,Indusland Bank,Hero,Tata Steel
2020-01-30,1443.75,1226.05,2415.0,532.2,780.7,2137.85,234.05,2058.1,1628.25,1370.2,730.9,489.8,1805.0,310.7,7020.45,15520.8,4364.3,442.1,607.85,1179.25,4486.0,194.4,113.65,567.85,3145.5,791.35,115.6,1231.5,2482.3,448.55
2020-01-31,1411.65,1226.3,2414.0,525.65,775.95,2079.05,235.15,2034.25,1691.75,1369.3,729.3,496.45,1795.65,318.45,6913.5,15359.45,4365.9,434.3,591.4,1187.75,4416.1,186.85,112.85,567.15,3180.05,796.6,108.95,1258.85,2501.85,438.7
2020-02-01,1383.35,1198.7,2268.25,504.6,779.5,2164.85,219.0,2074.9,1647.95,1287.4,705.45,497.2,1755.35,302.6,6812.65,15524.75,4276.05,422.8,590.9,1173.25,4265.25,182.4,109.3,545.2,3143.3,807.55,104.35,1211.1,2446.9,423.8
2020-02-03,1385.5,1192.8,2259.75,515.55,767.4,2102.5,207.6,2178.95,1676.25,1286.65,708.95,510.05,1867.65,298.1,7011.3,16301.0,4359.35,417.55,579.1,1186.4,4370.65,187.35,110.25,558.7,3284.5,793.15,103.45,1263.1,2376.15,436.05
2020-02-04,1426.4,1229.8,2345.95,530.8,787.85,2107.75,215.65,2155.6,1698.3,1291.75,715.0,518.9,1891.3,306.25,7199.6,16455.6,4519.25,425.65,586.5,1275.8,4474.25,194.35,112.0,576.9,3162.8,811.1,106.15,1272.65,2462.05,451.9
2020-02-05,1448.5,1244.65,2391.65,539.1,784.55,2146.55,216.45,2160.3,1689.75,1310.05,724.05,533.35,1873.5,311.0,7040.9,16384.85,4528.2,426.25,595.6,1279.85,4471.8,189.35,111.2,584.35,3161.5,814.05,106.8,1272.8,2373.25,475.05
2020-02-06,1457.8,1239.8,2436.45,541.6,771.35,2128.35,213.55,2156.4,1674.0,1317.6,736.95,546.8,1856.8,321.95,7021.6,16284.95,4666.35,430.65,599.7,1259.3,4464.9,192.9,112.0,580.15,3149.8,817.7,107.25,1334.25,2411.3,477.6
2020-02-07,1433.65,1242.2,2405.65,536.45,777.3,2136.55,213.4,2159.95,1653.05,1299.0,748.15,539.45,1858.7,320.55,6971.75,16327.8,4654.3,430.8,607.7,1275.0,4471.8,190.4,115.6,569.1,3134.85,824.45,109.25,1298.8,2443.45,471.0
2020-02-10,1435.6,1240.3,2414.3,533.95,773.2,2161.95,210.55,2159.3,1669.3,1285.3,741.1,538.7,1869.5,318.5,6892.9,16172.2,4721.75,420.3,604.9,1257.2,4413.75,186.6,113.5,528.4,3103.3,813.65,106.2,1274.95,2385.7,443.8
2020-02-11,1452.75,1240.6,2435.15,539.75,773.55,2153.4,212.6,2152.65,1677.45,1286.9,749.95,534.3,1878.1,324.35,7033.75,15997.15,4749.35,418.55,610.65,1270.7,4466.45,189.5,116.85,524.05,3145.45,819.95,106.8,1292.65,2396.45,444.1
2020-02-12,1470.3,1249.0,2437.6,549.3,781.05,2170.75,213.05,2260.35,1714.9,1297.3,755.25,539.6,1893.7,320.2,7043.3,16297.7,4768.7,414.6,614.1,1269.0,4453.75,189.35,116.8,531.0,3146.3,821.5,106.7,1277.4,2423.05,447.95
2020-02-13,1474.15,1241.4,2403.65,541.0,792.25,2191.95,211.9,2283.4,1689.8,1292.25,747.8,539.95,1874.05,327.45,7005.05,16412.2,4795.35,418.95,612.45,1298.1,4450.5,190.55,115.15,533.6,3136.4,828.0,105.35,1230.75,2408.95,441.25
2020-02-14,1487.6,1219.35,2401.75,545.8,786.45,2184.2,207.7,2255.05,1680.95,1295.15,736.5,565.0,1877.05,319.4,6913.8,16356.45,4781.75,418.55,621.65,1293.45,4434.35,184.1,112.7,523.0,3146.4,834.15,103.3,1176.0,2356.5,434.55
2020-02-17,1478.25,1217.15,2350.25,541.6,789.45,2203.25,204.8,2252.6,1691.1,1280.2,738.4,564.85,1881.4,314.2,6906.75,16588.45,4776.65,408.4,613.45,1316.05,4449.85,183.6,110.3,522.75,3075.6,833.25,99.95,1172.95,2283.35,436.85
2020-02-18,1467.4,1213.25,2318.8,541.2,797.65,2215.75,203.85,2234.4,1691.0,1286.35,733.65,548.25,1863.65,317.55,6781.1,16403.85,4758.0,408.65,607.05,1311.0,4475.7,185.0,109.6,523.2,3082.5,838.8,99.3,1140.7,2252.65,431.4
2020-02-19,1503.8,1227.2,2377.25,544.8,800.45,2196.35,206.7,2292.15,1701.1,1281.4,741.05,543.4,1884.9,320.35,6756.6,16785.05,4878.05,403.55,605.75,1329.6,4473.1,187.5,112.05,526.4,3090.9,840.9,101.7,1142.15,2251.6,433.2
2020-02-20,1485.95,1217.1,2369.5,547.0,797.0,2156.8,207.45,2248.25,1685.95,1280.6,744.3,545.6,1842.25,327.65,6757.6,16539.5,4880.45,404.95,608.05,1322.85,4428.1,189.25,111.35,524.85,3065.5,829.6,102.8,1182.2,2240.25,443.55
2020-02-24,1444.95,1209.95,2292.3,529.85,795.85,2115.35,203.0,2215.15,1678.25,1259.7,725.45,529.9,1818.95,322.95,6470.4,16337.25,4803.95,397.85,595.15,1279.9,4395.0,186.1,109.7,513.2,2980.5,820.1,98.05,1170.25,2184.2,415.45
